,ano,id_municipio,pop_total,pop_total_brancos,pop_total_pretos,pop_total_pardos,pop_homens,pop_homens_brancos,pop_homens_pretos,pop_homens_pardos,pop_mulheres,pop_mulheres_brancas,pop_mulheres_pretas,pop_mulheres_pardas
41,2013,1600303,443000.0,97000.0,62000.0,282000.0,217000.0,41000.0,32000.0,142000.0,226000.0,56000.0,29000.0,140000.0
42,2014,1600303,453000.0,104000.0,47000.0,301000.0,213000.0,46000.0,26000.0,140000.0,240000.0,58000.0,21000.0,161000.0
43,2015,1600303,464000.0,116000.0,57000.0,284000.0,228000.0,54000.0,33000.0,140000.0,236000.0,62000.0,24000.0,143000.0
44,2016,1600303,474000.0,114000.0,49000.0,304000.0,229000.0,55000.0,19000.0,151000.0,245000.0,59000.0,29000.0,154000.0
45,2017,1600303,484000.0,105000.0,46000.0,331000.0,241000.0,51000.0,27000.0,162000.0,243000.0,54000.0,19000.0,169000.0
46,2018,1600303,494000.0,103000.0,37000.0,349000.0,247000.0,44000.0,21000.0,180000.0,247000.0,59000.0,16000.0,169000.0
47,2019,1600303,503000.0,104000.0,46000.0,351000.0,231000.0,40000.0,21000.0,168000.0,272000.0,64000.0,25000.0,182000.0
48,2012,1721000,248000.0,81000.0,20000.0,145000.0,118000.0,39000.0,11000.0,67000.0,131000.0,42000.0,9000.0,78000.0
49,2013,1721000,256000.0,67000.0,23000.0,163000.0,126000.0,33000.0,11000.0,81000.0,130000.0,34000.0,12000.0,81000.0
50,2014,1721000,263000.0,78000.0,27000.0,157000.0,129000.0,35000.0,14000.0,80000.0,134000.0,43000.0,13000.0,77000.0
